Vehicle #,Driver,Year_t1,Make_t1,Model_t1,Color,VIN,Vehicle  #,Year_t3,Make_t3,Model_t3,Mileage,Last Service,Service?,Unnamed: 9,Unnamed: 10,Vehicle #_t5,Calvin #,Vehicle Year,Make,Model,Title,Date_of_Service,Notes,Depts,Vehicle,Veh #,Current Mileage,Last LOF,Tire Condition IN 32nds,Overall condition,KBB Value
16,back row,2007.0,Ford,Econoline Box,NULL,1FDWE35L47DA26972,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36.0,BOX,2007,FORD,ECONOL,Y,NULL,NULL,facilities,2002 Ford Econoline Box,19,61088,60534,F-4 R-10,Below Average,Not Listed
19,back row,NULL,Ford,Econoline Box,NULL,1FDWE35L52HB44451,19,0.0,Ford,Econoline Box,60534.0,6/13/2023,Yes,NULL,NULL,38.0,BOX,2002,FORD,ECONOL,Y,NULL,NULL,facilities,2007 Ford Econoline Box,17,31317,30329,F-11 R-8,Average,Not Listed
19,back row,NULL,Ford,Econoline Box,NULL,1FDWE35L52HB44451,19,0.0,Ford,Econoline Box,60534.0,6/13/2023,Yes,NULL,NULL,38.0,BOX,2002,FORD,ECONOL,Y,NULL,NULL,facilities,2002 Ford Econoline Box,19,61088,60534,F-4 R-10,Below Average,Not Listed
15,amanda harper,2019.0,Ford,Econoline Box,NULL,1FDWE4F68KDC06513,15,2019.0,Ford,Econoline Box,1903.0,2/1/2023,Yes,NULL,NULL,16.0,CD BOX,2019,FORD,ECONOL,Y,NULL,NULL,c-dining,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,back row,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,grounds,2007 Ford Econoline Box,17,31317,30329,F-11 R-8,Average,Not Listed
31,back row,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,grounds,2002 Ford Econoline Box,19,61088,60534,F-4 R-10,Below Average,Not Listed
#4,none,2015.0,Ford ,Escape,NULL,1FMCU0F71FUA60257,#4,2015.0,Ford ,Escape,100819.0,5/17/2023,Yes,NULL,NULL,57.0,CS #4,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
#4,none,2015.0,Ford ,Escape,NULL,1FMCU0F71FUA60257,#4,2015.0,Ford ,Escape,100819.0,5/17/2023,Yes,NULL,NULL,57.0,CS #4,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL
#4,none,2015.0,Ford ,Escape,NULL,1FMCU0F71FUA60257,#4,2015.0,Ford ,Escape,100819.0,5/17/2023,Yes,NULL,NULL,57.0,CS #4,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,OO7,BS/Advancement,White,8323,NULL,NULL,NULL
#4,none,2015.0,Ford ,Escape,NULL,1FMCU0F71FUA60257,#4,2015.0,Ford ,Escape,100819.0,5/17/2023,Yes,NULL,NULL,57.0,CS #4,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL
#4,none,2015.0,Ford ,Escape,NULL,1FMCU0F71FUA60257,#4,2015.0,Ford ,Escape,100819.0,5/17/2023,Yes,NULL,NULL,57.0,CS #4,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,Fac #8,BS,NULL,NULL,NULL,NULL,NULL
#4,none,2015.0,Ford ,Escape,NULL,1FMCU0F71FUA60257,#4,2015.0,Ford ,Escape,100819.0,5/17/2023,Yes,NULL,NULL,57.0,CS #4,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL
#1,none,2014.0,Ford,Escape,NULL,1FMCU0F73EUD08328,#1,2014.0,Ford,Escape,131897.0,5/17/2023,Yes,NULL,NULL,53.0,CS #1,2014,FORD,ESCAPE,Y,NULL,NULL,camp saf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
