Vehicle #,Driver,Dept_t1,Year_t1,Make_t1,Model_t1,Color,VIN,Vehicle  #,Dept_t3,Year_t3,Make_t3,Model_t3,Mileage,Last Service,Service?,Unnamed: 9,Unnamed: 10,Vehicle #_t5,Calvin #,Vehicle Year,Make,Model,Title,Date_of_Service,Notes,Matched_On,Vehicle,Veh #,Current Mileage,Last LOF,Tire Condition IN 32nds,Overall condition,KBB Value,Driver_t4
NULL,none,none,NULL,NULL,NULL,NULL,16VCX162362D14222,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.0,NULL,2006,BIG,TEX,NULL,NULL,NULL,Dept_t1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,16VCX162362D14222,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.0,NULL,2006,BIG,TEX,NULL,NULL,NULL,Dept_t1,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,16VCX162362D14222,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.0,NULL,2006,BIG,TEX,NULL,NULL,NULL,Dept_t1,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,16VCX162362D14222,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.0,NULL,2006,BIG,TEX,NULL,NULL,NULL,Dept_t1,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,16VCX162362D14222,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.0,NULL,2006,BIG,TEX,NULL,NULL,NULL,Dept_t1,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,16VCX162362D14222,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.0,NULL,2006,BIG,TEX,NULL,NULL,NULL,Dept_t1,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71.0,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71.0,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71.0,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71.0,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71.0,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71.0,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
