Calvin #,Color,Current Mileage,Date_of_Service,Dept_t1,Dept_t3,Driver,Driver_x,Driver_y,KBB Value,Last LOF,Last Service,Make,Make_t1,Make_t3,Mileage,Model,Model_t1,Model_t3,Notes,Overall condition,Service?,Tire Condition IN 32nds,Title,Unnamed: 10,Unnamed: 9,VIN,Veh #,Vehicle,Vehicle  #,Vehicle #,Vehicle #_t5,Vehicle Year,Year_t1,Year_t3
GROUNDS,NULL,42616,NULL,none,none,none,back row,grounds,"$14,055.00 ",41811,6/14/2023,RED,Chevy,Chevy,59510.0,HOMEMAD,Silverado,Silverado,NULL,Average,Yes,F-11 R-12,Y,NULL,NULL,2,37,Golf Carts,33,33,18.0,2002,2007.0,2007.0
GROUNDS,NULL,White,NULL,none,none,none,scott m,grounds,"$9,479.00 ",8323,2/1/2023,RED,Chevy,Chevy,125343.0,HOMEMAD,2500 HD,2500 HD,NULL,Above Average,Yes,F-11 R-11,Y,NULL,NULL,2,BS/Advancement,OO7,27,27,18.0,2002,2004.0,2004.0
GROUNDS,NULL,Green EZ/Go,NULL,none,none,none,scott m,grounds,"$10,563.00 ",6377,2/1/2023,RED,Chevy,Chevy,125343.0,HOMEMAD,2500 HD,2500 HD,NULL,Average,Yes,F-7 R-6,Y,NULL,NULL,2,BS,Fac #4,27,27,18.0,2002,2004.0,2004.0
GROUNDS,NULL,126501,NULL,none,none,none,scott m,grounds,"$3,949.00 ",125343,2/1/2023,RED,Chevy,Chevy,125343.0,HOMEMAD,2500 HD,2500 HD,NULL,Average,Yes,F-17 R12,Y,NULL,NULL,2,BS,Fac #8,27,27,18.0,2002,2004.0,2004.0
GROUNDS,NULL,Burgundy,NULL,none,none,none,scott m,grounds,"$15,315.00 ",751,2/1/2023,RED,Chevy,Chevy,125343.0,HOMEMAD,2500 HD,2500 HD,NULL,Above Average,Yes,F-8 R-8,Y,NULL,NULL,2,BS/Custodial/Emily,Fac #9,27,27,18.0,2002,2004.0,2004.0
45,White,44506,11/7/2023,building ser,building ser,sandy,scott m,grounds,To old to list,44484,11/7/2023,DODGE,Dodge,Dodge,59527.0,GRAND,Grand Caravan,Grand Caravan,full service and check brakes,Average,Yes,F-4 R-17,Y,NULL,NULL,2C4RDGBG2ER406096,30,1988 F-600 Dump,45,45,52.0,2014,2014.0,2014.0
CS #2,NULL,261536,NULL,camp saf,camp saf,none,scott m,grounds,To old to list,261513,4/25/2023,FORD,Ford,Ford,129884.0,EDGE,Escape,Escape,NULL,Average,Yes,F-16 R-20,Y,NULL,NULL,2FMDK3GC9EBA99738,31,1988 F-800,#2,#2,55.0,2014,2014.0,2014.0
CS #2,NULL,59584,NULL,camp saf,camp saf,none,scott m,grounds,"$8,787.00 ",59510,4/25/2023,FORD,Ford,Ford,129884.0,EDGE,Escape,Escape,NULL,Average,Yes,F-11 R-13,Y,NULL,NULL,2FMDK3GC9EBA99738,33,Golf Carts,#2,#2,55.0,2014,2014.0,2014.0
CS #2,NULL,White,NULL,camp saf,camp saf,none,scott m,grounds,"$9,260.00 ",8323,4/25/2023,FORD,Ford,Ford,129884.0,EDGE,Escape,Escape,NULL,Average,Yes,F-16 R-16,Y,NULL,NULL,2FMDK3GC9EBA99738,BS/Advancement,OO7,#2,#2,55.0,2014,2014.0,2014.0
CS #2,NULL,Green EZ/Go,NULL,camp saf,camp saf,none,scott m,grounds,"$18,637.00 ",6377,4/25/2023,FORD,Ford,Ford,129884.0,EDGE,Escape,Escape,NULL,Above Average,Yes,F-13 R-9,Y,NULL,NULL,2FMDK3GC9EBA99738,BS,Fac #4,#2,#2,55.0,2014,2014.0,2014.0
CS #2,NULL,42616,NULL,camp saf,camp saf,none,scott m,grounds,"$14,055.00 ",41811,4/25/2023,FORD,Ford,Ford,129884.0,EDGE,Escape,Escape,NULL,Average,Yes,F-11 R-12,Y,NULL,NULL,2FMDK3GC9EBA99738,BS,Fac #8,#2,#2,55.0,2014,2014.0,2014.0
CS #2,NULL,Burgundy,NULL,camp saf,camp saf,none,none,none,To old to list,751,4/25/2023,FORD,Ford,Ford,129884.0,EDGE,Escape,Escape,NULL,Average,Yes,F-16 R-20,Y,NULL,NULL,2FMDK3GC9EBA99738,BS/Custodial/Emily,Fac #9,#2,#2,55.0,2014,2014.0,2014.0
GROUNDS,NULL,59584,NULL,none,none,none,none,none,"$8,787.00 ",59510,2/1/2023,STERL,Chevy,Chevy,125343.0,L,2500 HD,2500 HD,NULL,Average,Yes,F-11 R-13,Y,NULL,NULL,2FZHAJAA4YAG69696,33,Golf Carts,27,27,19.0,2000,2004.0,2004.0
GROUNDS,NULL,White,NULL,none,none,none,none,none,"$9,260.00 ",8323,2/1/2023,STERL,Chevy,Chevy,125343.0,L,2500 HD,2500 HD,NULL,Average,Yes,F-16 R-16,Y,NULL,NULL,2FZHAJAA4YAG69696,BS/Advancement,Golf Carts,27,27,19.0,2000,2004.0,2004.0
GROUNDS,NULL,White,NULL,none,none,none,none,none,"$18,637.00 ",8323,2/1/2023,STERL,Chevy,Chevy,125343.0,L,2500 HD,2500 HD,NULL,Above Average,Yes,F-13 R-9,Y,NULL,NULL,2FZHAJAA4YAG69696,BS/Advancement,OO7,27,27,19.0,2000,2004.0,2004.0
GROUNDS,NULL,Green EZ/Go,NULL,none,none,none,none,none,"$14,055.00 ",6377,2/1/2023,STERL,Chevy,Chevy,125343.0,L,2500 HD,2500 HD,NULL,Average,Yes,F-11 R-12,Y,NULL,NULL,2FZHAJAA4YAG69696,BS,Fac #4,27,27,19.0,2000,2004.0,2004.0
GROUNDS,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,STERL,NULL,NULL,NULL,L,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,2FZHAJAA4YAG69696,BS,Fac #8,NULL,NULL,19.0,2000,NULL,NULL
GROUNDS,Silver,Burgundy,NULL,none,none,none,jamie skillen,bunker,"$9,150.00 ",751,3/8/2023,STERL,Chevy,Chevy,78810.0,L,NULL,0,NULL,Above Average,Yes,F-13 R-12,Y,NULL,NULL,2FZHAJAA4YAG69696,BS/Custodial/Emily,Fac #9,48,48,19.0,2000,2007.0,2007.0
SOLD,Silver, ,NULL,none,none,none,jamie skillen,bunker, , ,3/8/2023,CHEVR,Chevy,Chevy,78810.0,IMPALA,NULL,0,NULL,new,Yes, ,Y,NULL,NULL,2G1WF52E649172584, ,2024 Ford,48,48,30.0,2004,2007.0,2007.0
SOLD,Red,Green EZ/Go,NULL,none,none,none,keith grasman,none,NULL,6377,2/7/2023,CHEVR,Chevy,Chevy,172594.0,IMPALA,GMT-40,GMT-40,NULL,NULL,Yes,NULL,Y,NULL,NULL,2G1WF52E649172584,BS,Golf Carts,46,46,30.0,2004,2000.0,2000.0
SOLD,White,White,11/8/2023,none,none,none,manuel,none,NULL,8323,11/8/2023,CHEVR,Chevy,Chevy,21390.0,IMPALA,1500 LS,1500 LS,full service,NULL,Yes,NULL,Y,NULL,NULL,2G1WF52E649172584,BS/Advancement,OO7,6,6,30.0,2004,2016.0,2016.0
SOLD,Black,Green EZ/Go,NULL,none,none,none,scott m,grounds,"$9,479.00 ",6377,6/14/2023,CHEVR,Chevy,Chevy,41811.0,IMPALA,Silverado,Silverado,NULL,Above Average,Yes,F-11 R-11,Y,NULL,NULL,2G1WF52E649172584,BS,Fac #4,37,37,30.0,2004,2013.0,2013.0
SOLD,Black,61304,NULL,none,none,none,scott m,grounds,"$10,563.00 ",60160,6/14/2023,CHEVR,Chevy,Chevy,41811.0,IMPALA,Silverado,Silverado,NULL,Average,Yes,F-7 R-6,Y,NULL,NULL,2G1WF52E649172584,BS,Fac #8,37,37,30.0,2004,2013.0,2013.0
SOLD,Black,Burgundy,NULL,none,none,none,scott m,grounds,"$3,949.00 ",751,6/14/2023,CHEVR,Chevy,Chevy,41811.0,IMPALA,Silverado,Silverado,NULL,Average,Yes,F-17 R12,Y,NULL,NULL,2G1WF52E649172584,BS/Custodial/Emily,Fac #9,37,37,30.0,2004,2013.0,2013.0
SOLD  ,Black,114540,NULL,none,none,none,scott m,grounds,"$15,315.00 ",113800,6/14/2023,CHEVR,Chevy,Chevy,41811.0,IMPALA,Silverado,Silverado,NULL,Above Average,Yes,F-8 R-8,Y,NULL,NULL,2G1WF52E649172584,28,2015 Chevy 2500,37,37,30.0,2004,2013.0,2013.0
SOLD  ,Black,44506,11/8/2023,none,none,none,scott m,grounds,To old to list,44484,6/14/2023,CHEVR,Chevy,Chevy,41811.0,IMPALA,Silverado,Silverado,full service,Average,Yes,F-4 R-17,Y,NULL,NULL,2G1WF52E649172584,30,Golf Carts,37,37,30.0,2004,2013.0,2013.0
SOLD  ,Black,White,NULL,none,none,none,scott m,grounds,To old to list,8323,6/14/2023,CHEVR,Chevy,Chevy,41811.0,IMPALA,Silverado,Silverado,NULL,Average,Yes,F-16 R-20,Y,NULL,NULL,2G1WF52E649172584,BS/Advancement,OO7,37,37,30.0,2004,2013.0,2013.0
SOLD  ,Black,Green EZ/Go,NULL,none,none,none,scott m,grounds,"$8,787.00 ",6377,6/14/2023,CHEVR,Chevy,Chevy,41811.0,IMPALA,Silverado,Silverado,NULL,Average,Yes,F-11 R-13,Y,NULL,NULL,2G1WF52E649172584,BS,Fac #4,37,37,30.0,2004,2013.0,2013.0
SOLD  ,Black,31088,NULL,none,none,none,scott m,grounds,"$9,260.00 ",29970,6/14/2023,CHEVR,Chevy,Chevy,41811.0,IMPALA,Silverado,Silverado,NULL,Average,Yes,F-16 R-16,Y,NULL,NULL,2G1WF52E649172584,BS,Fac #8,37,37,30.0,2004,2013.0,2013.0
SOLD  ,Black,Burgundy,NULL,none,none,none,scott m,grounds,"$18,637.00 ",751,6/14/2023,CHEVR,Chevy,Chevy,41811.0,IMPALA,Silverado,Silverado,NULL,Above Average,Yes,F-13 R-9,Y,NULL,NULL,2G1WF52E649172584,BS/Custodial/Emily,Fac #9,37,37,30.0,2004,2013.0,2013.0
41,White,42616,NULL,slc,slc,annie mas-smith,scott m,grounds,"$14,055.00 ",41811,2/28/2024,CHEVR,Chevy,Chevy,131220.0,IMPALA,Impala,Impala,NULL,Average,Yes,F-11 R-12,Y,NULL,NULL,2G1WT58K681215217,37,2013 Chevy Silverado,41,41,42.0,2008,2008.0,2008.0
PRISON,White,261536,11/7/2023,prison,prison,nick nichols,none,grounds,To old to list,261513,11/7/2023,HONDA,Honda,Honda,101852.0,CIVIC,Civic ,Civic ,"Full service, change wiper blades, replace battery",Average,Yes,F-16 R-20,Y,NULL,NULL,2HGFB2F59DH574392,31,1988 F-800,40,40,84.0,2013,2013.0,2013.0
MAIL,Black,59584,NULL,none,none,none,none,none,"$8,787.00 ",59510,6/14/2023,PACE,Chevy,Chevy,41811.0,TRAILER,Silverado,Silverado,NULL,Average,Yes,F-11 R-13,Y,NULL,NULL,40LFB0813KP006249,33,2007 Chevy Silverado ,37,37,21.0,1989,2013.0,2013.0
MAIL,Black,31088,NULL,none,none,none,none,none,"$9,260.00 ",29970,6/14/2023,PACE,Chevy,Chevy,41811.0,TRAILER,Silverado,Silverado,NULL,Average,Yes,F-16 R-16,Y,NULL,NULL,40LFB0813KP006249,34,Golf Carts,37,37,21.0,1989,2013.0,2013.0
MAIL,Black,White,NULL,none,none,none,none,none,"$18,637.00 ",8323,6/14/2023,PACE,Chevy,Chevy,41811.0,TRAILER,Silverado,Silverado,NULL,Above Average,Yes,F-13 R-9,Y,NULL,NULL,40LFB0813KP006249,BS/Advancement,OO7,37,37,21.0,1989,2013.0,2013.0
MAIL,Black,Green EZ/Go,NULL,none,none,none,none,none,"$14,055.00 ",6377,6/14/2023,PACE,Chevy,Chevy,41811.0,TRAILER,Silverado,Silverado,NULL,Average,Yes,F-11 R-12,Y,NULL,NULL,40LFB0813KP006249,BS,Fac #4,37,37,21.0,1989,2013.0,2013.0
MAIL,White,NULL,NULL,none,none,none,none,none,NULL,NULL,1/31/2023,PACE,Chevy,Chevy,40681.0,TRAILER,Express,Express,NULL,NULL,Yes,NULL,Y,NULL,NULL,40LFB0813KP006249,BS,Fac #8,43,43,21.0,1989,2014.0,2014.0
MAIL,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,PACE,NULL,NULL,NULL,TRAILER,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,40LFB0813KP006249,BS/Custodial/Emily,Fac #9,NULL,NULL,21.0,1989,NULL,NULL
5,White,NULL,5/22/2025,none,none,none,tyler,none,NULL,NULL,4/25/2023,CORNE,Chevy,Chevy,87034.0, ,Express Cargo,Express Cargo,NULL,NULL,Yes,NULL,Y,NULL,NULL,4MJUB18297E045179,NULL,Golf Carts,5,5,28.0,2007,2011.0,2011.0
9,White,White,NULL,none,none,none,nick,none,NULL,8323,4/26/2023,CORNE,Chevy ,Chevy ,46823.0, ,Express Van,Express Van,NULL,NULL,Yes,NULL,Y,NULL,NULL,4MJUB18297E045179,BS/Advancement,Golf Carts,9,9,28.0,2007,2014.0,2014.0
FACILITIES,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,CORNE,NULL,NULL,NULL, ,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,4MJUB18297E045179,BS/Advancement,OO7,NULL,NULL,28.0,2007,NULL,NULL
FACILITIES,NULL,Green EZ/Go,NULL,none,none,none,none,none,NULL,6377,NULL,CORNE,NULL,NULL,NULL, ,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,4MJUB18297E045179,BS,Fac #4,NULL,NULL,28.0,2007,NULL,NULL
FACILITIES,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,CORNE,NULL,NULL,NULL, ,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,4MJUB18297E045179,BS,Fac #8,NULL,NULL,28.0,2007,NULL,NULL
FACILITIES,White,Burgundy,5/22/2025,none,none,none,none,none,NULL,751,4/25/2023,CORNE,Chevy,Chevy,87034.0, ,Express Cargo,Express Cargo,NULL,NULL,Yes,NULL,Y,NULL,NULL,4MJUB18297E045179,BS/Custodial/Emily,Fac #9,5,5,28.0,2007,2011.0,2011.0
UTILITY TR,White,NULL,NULL,none,none,none,none,none,NULL,NULL,4/26/2023,WHIT,Chevy ,Chevy ,46823.0,CARGO,Express Van,Express Van,NULL,NULL,Yes,NULL,Y,NULL,NULL,4X4TSE6233N038630,BS,Fac #8,9,9,15.0,2003,2014.0,2014.0
UTILITY TR,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,WHIT,NULL,NULL,NULL,CARGO,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,4X4TSE6233N038630,BS/Custodial/Emily,Golf Carts,NULL,NULL,15.0,2003,NULL,NULL
UTILITY TR,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,WHIT,NULL,NULL,NULL,CARGO,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,4X4TSE6233N038630,BS/Advancement,OO7,NULL,NULL,15.0,2003,NULL,NULL
UTILITY TR,NULL,Green EZ/Go,NULL,none,none,none,none,none,NULL,6377,NULL,WHIT,NULL,NULL,NULL,CARGO,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,4X4TSE6233N038630,BS,Fac #4,NULL,NULL,15.0,2003,NULL,NULL
UTILITY TR,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,WHIT,NULL,NULL,NULL,CARGO,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,4X4TSE6233N038630,BS,Fac #8,NULL,NULL,15.0,2003,NULL,NULL
UTILITY TR,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,WHIT,NULL,NULL,NULL,CARGO,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,4X4TSE6233N038630,BS/Custodial/Emily,Fac #9,NULL,NULL,15.0,2003,NULL,NULL
FACILITIES,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,JIG,NULL,NULL,NULL,UT410,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,5DYAA51L3HC008007,BS,Fac #8,NULL,NULL,77.0,2017,NULL,NULL
FACILITIES,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,JIG,NULL,NULL,NULL,UT410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5DYAA51L3HC008007,BS/Custodial/Emily,Golf Carts,NULL,NULL,77.0,2017,NULL,NULL
FACILITIES,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,JIG,NULL,NULL,NULL,UT410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5DYAA51L3HC008007,BS/Advancement,OO7,NULL,NULL,77.0,2017,NULL,NULL
FACILITIES,NULL,Green EZ/Go,NULL,none,none,none,none,none,NULL,6377,NULL,JIG,NULL,NULL,NULL,UT410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5DYAA51L3HC008007,BS,Fac #4,NULL,NULL,77.0,2017,NULL,NULL
FACILITIES,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,JIG,NULL,NULL,NULL,UT410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5DYAA51L3HC008007,BS,Fac #8,NULL,NULL,77.0,2017,NULL,NULL
FACILITIES,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,JIG,NULL,NULL,NULL,UT410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5DYAA51L3HC008007,BS/Custodial/Emily,Fac #9,NULL,NULL,77.0,2017,NULL,NULL
BONEYARD,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,JIG,NULL,NULL,NULL,UT914,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5DYAAB2L3KC008996,BS,Fac #8,NULL,NULL,78.0,2017,NULL,NULL
BONEYARD,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,JIG,NULL,NULL,NULL,UT914,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5DYAAB2L3KC008996,BS/Custodial/Emily,Golf Carts,NULL,NULL,78.0,2017,NULL,NULL
BONEYARD,NULL,White,NULL,none,none,none,scott m,grounds,"$9,479.00 ",8323,6/14/2023,JIG,GMC,GMC,102911.0,UT914,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Above Average,Yes,F-11 R-11,Y,NULL,NULL,5DYAAB2L3KC008996,BS/Advancement,OO7,25,25,78.0,2017,2010.0,2010.0
BONEYARD,NULL,Green EZ/Go,NULL,none,none,none,scott m,grounds,"$10,563.00 ",6377,6/14/2023,JIG,GMC,GMC,102911.0,UT914,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Average,Yes,F-7 R-6,Y,NULL,NULL,5DYAAB2L3KC008996,BS,Fac #4,25,25,78.0,2017,2010.0,2010.0
BONEYARD,NULL,126501,NULL,none,none,none,scott m,grounds,"$3,949.00 ",125343,6/14/2023,JIG,GMC,GMC,102911.0,UT914,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Average,Yes,F-17 R12,Y,NULL,NULL,5DYAAB2L3KC008996,BS,Fac #8,25,25,78.0,2017,2010.0,2010.0
BONEYARD,NULL,Burgundy,NULL,none,none,none,scott m,grounds,"$15,315.00 ",751,6/14/2023,JIG,GMC,GMC,102911.0,UT914,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Above Average,Yes,F-8 R-8,Y,NULL,NULL,5DYAAB2L3KC008996,BS/Custodial/Emily,Fac #9,25,25,78.0,2017,2010.0,2010.0
GROUNDS,NULL,44506,NULL,none,none,none,scott m,grounds,To old to list,44484,6/14/2023,GENS,GMC,GMC,102911.0,CANOE,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Average,Yes,F-4 R-17,Y,NULL,NULL,5KYMB161241002306,30,1988 F-600 Dump,25,25,13.0,2004,2010.0,2010.0
GROUNDS,NULL,261536,NULL,none,none,none,scott m,grounds,To old to list,261513,6/14/2023,GENS,GMC,GMC,102911.0,CANOE,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Average,Yes,F-16 R-20,Y,NULL,NULL,5KYMB161241002306,31,Golf Carts,25,25,13.0,2004,2010.0,2010.0
GROUNDS,NULL,White,NULL,none,none,none,scott m,grounds,"$8,787.00 ",8323,6/14/2023,GENS,GMC,GMC,102911.0,CANOE,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Average,Yes,F-11 R-13,Y,NULL,NULL,5KYMB161241002306,BS/Advancement,OO7,25,25,13.0,2004,2010.0,2010.0
GROUNDS,NULL,Green EZ/Go,NULL,none,none,none,scott m,grounds,"$9,260.00 ",6377,6/14/2023,GENS,GMC,GMC,102911.0,CANOE,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Average,Yes,F-16 R-16,Y,NULL,NULL,5KYMB161241002306,BS,Fac #4,25,25,13.0,2004,2010.0,2010.0
GROUNDS,NULL,60602,NULL,none,none,none,scott m,grounds,"$18,637.00 ",58240,6/14/2023,GENS,GMC,GMC,102911.0,CANOE,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Above Average,Yes,F-13 R-9,Y,NULL,NULL,5KYMB161241002306,BS,Fac #8,25,25,13.0,2004,2010.0,2010.0
GROUNDS,NULL,Burgundy,NULL,none,none,none,scott m,grounds,"$14,055.00 ",751,6/14/2023,GENS,GMC,GMC,102911.0,CANOE,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Average,Yes,F-11 R-12,Y,NULL,NULL,5KYMB161241002306,BS/Custodial/Emily,Fac #9,25,25,13.0,2004,2010.0,2010.0
GROUNDS,NULL,261536,NULL,none,none,none,none,none,To old to list,261513,6/14/2023,ROYA,GMC,GMC,102911.0,CARGO,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Average,Yes,F-16 R-20,Y,NULL,NULL,5LABE14248M019513,31,1988 F-800,25,25,35.0,2008,2010.0,2010.0
GROUNDS,NULL,59584,NULL,none,none,none,none,none,"$8,787.00 ",59510,6/14/2023,ROYA,GMC,GMC,102911.0,CARGO,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Average,Yes,F-11 R-13,Y,NULL,NULL,5LABE14248M019513,33,Golf Carts,25,25,35.0,2008,2010.0,2010.0
GROUNDS,NULL,White,NULL,none,none,none,none,none,"$9,260.00 ",8323,6/14/2023,ROYA,GMC,GMC,102911.0,CARGO,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Average,Yes,F-16 R-16,Y,NULL,NULL,5LABE14248M019513,BS/Advancement,OO7,25,25,35.0,2008,2010.0,2010.0
GROUNDS,NULL,Green EZ/Go,NULL,none,none,none,none,none,"$18,637.00 ",6377,6/14/2023,ROYA,GMC,GMC,102911.0,CARGO,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Above Average,Yes,F-13 R-9,Y,NULL,NULL,5LABE14248M019513,BS,Fac #4,25,25,35.0,2008,2010.0,2010.0
GROUNDS,NULL,42616,NULL,none,none,none,none,none,"$14,055.00 ",41811,6/14/2023,ROYA,GMC,GMC,102911.0,CARGO,Sierra 2500 SLE,Sierra 2500 SLE,NULL,Average,Yes,F-11 R-12,Y,NULL,NULL,5LABE14248M019513,BS,Fac #8,25,25,35.0,2008,2010.0,2010.0
NULL,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,ROYA,NULL,NULL,NULL,CARGO,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,5LABE14248M019513,BS/Custodial/Emily,Fac #9,NULL,NULL,35.0,2008,NULL,NULL
NULL,NULL,NULL,NULL,none,none,none,none,none,NULL,NULL,NULL,CARG,NULL,NULL,NULL,MATE,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,5NHUCM0134N047716,NULL,Golf Carts,NULL,NULL,12.0,2004,NULL,NULL
NULL,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,CARG,NULL,NULL,NULL,MATE,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,5NHUCM0134N047716,BS/Advancement,Golf Carts,NULL,NULL,12.0,2004,NULL,NULL
NULL,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,CARG,NULL,NULL,NULL,MATE,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,5NHUCM0134N047716,BS/Advancement,OO7,NULL,NULL,12.0,2004,NULL,NULL
NULL,NULL,Green EZ/Go,NULL,none,none,none,none,none,NULL,6377,NULL,CARG,NULL,NULL,NULL,MATE,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,5NHUCM0134N047716,BS,Fac #4,NULL,NULL,12.0,2004,NULL,NULL
NULL,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,CARG,NULL,NULL,NULL,MATE,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,5NHUCM0134N047716,BS,Fac #8,NULL,NULL,12.0,2004,NULL,NULL
NULL,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,CARG,NULL,NULL,NULL,MATE,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,5NHUCM0134N047716,BS/Custodial/Emily,Fac #9,NULL,NULL,12.0,2004,NULL,NULL
WEIBE,NULL,NULL,NULL,none,none,none,none,none,NULL,NULL,NULL,TOYOT,NULL,NULL,NULL,HIGHLA,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,5TDXBRCH1NS561925,NULL,Golf Carts,NULL,NULL,83.0,2022,NULL,NULL
WEIBE,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,TOYOT,NULL,NULL,NULL,HIGHLA,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,5TDXBRCH1NS561925,BS/Advancement,Golf Carts,NULL,NULL,83.0,2022,NULL,NULL
WEIBE,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,TOYOT,NULL,NULL,NULL,HIGHLA,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,5TDXBRCH1NS561925,BS/Advancement,OO7,NULL,NULL,83.0,2022,NULL,NULL
WEIBE,NULL,Green EZ/Go,NULL,none,none,none,none,none,NULL,6377,NULL,TOYOT,NULL,NULL,NULL,HIGHLA,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,5TDXBRCH1NS561925,BS,Fac #4,NULL,NULL,83.0,2022,NULL,NULL
WEIBE,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,TOYOT,NULL,NULL,NULL,HIGHLA,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,5TDXBRCH1NS561925,BS,Fac #8,NULL,NULL,83.0,2022,NULL,NULL
WEIBE,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,TOYOT,NULL,NULL,NULL,HIGHLA,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,5TDXBRCH1NS561925,BS/Custodial/Emily,Fac #9,NULL,NULL,83.0,2022,NULL,NULL
LEROY,White,NULL,11/7/2023,none,none,none,sandy,none,NULL,NULL,11/7/2023,TOYOT,Dodge,Dodge,59527.0,RAV4,Grand Caravan,Grand Caravan,full service and check brakes,NULL,Yes,NULL,N,NULL,NULL,JTMZFREV8HJ143993,NULL,Golf Carts,45,45,82.0,2017,2014.0,2014.0
LEROY,NULL,White,NULL,none,none,none,none,none,NULL,8323,4/25/2023,TOYOT,Ford,Ford,129884.0,RAV4,Escape,Escape,NULL,NULL,Yes,NULL,N,NULL,NULL,JTMZFREV8HJ143993,BS/Advancement,Golf Carts,#2,#2,82.0,2017,2014.0,2014.0
